2020,Autumn Weekday,Autumn Weekend,Winter Weekday,Winter Weekend,Spring Weekday,Spring Weekend,Summer Weekday,Summer Weekend,Peak Day
0:00:00,0,0,0,0,0,0,0,0,0
1:00:00,0,0,0,0,0,0,0,0,0
2:00:00,0,0,0,0,0,0,0,0,0
3:00:00,0,0,0,0,0,0,0,0,0
4:00:00,0,0,0,0,0,0,0,0,0
5:00:00,0,0,0,0,0,0,0,0,0
6:00:00,0,0,0,0,0,0,0,0,0
7:00:00,0,0,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0,0,1
9:00:00,0,0,0,0,0,0,0,0,1
10:00:00,0,0,0,0,0,0,0,0,1
11:00:00,0,0,0,0,0,0,0,0,1
12:00:00,0,0,0,0,0,0,0,0,1
13:00:00,0,0,0,0,0,0,0,0,1
14:00:00,0,0,0,0,0,0,0,0,0
15:00:00,0,0,0,0,0,0,0,0,0
16:00:00,0,0,0,0,0,0,0,0,0
17:00:00,0,0,0,0,0,0,0,0,0
18:00:00,0,0,0,0,0,0,0,0,0
19:00:00,0,0,0,0,0,0,0,0,0
20:00:00,0,0,0,0,0,0,0,0,0
21:00:00,0,0,0,0,0,0,0,0,0
22:00:00,0,0,0,0,0,0,0,0,0
23:00:00,0,0,0,0,0,0,0,0,0
